max_depth	min_samples_leaf	AUC	Test_acc	Train_acc	Train_acc-Test_acc
3.000000	1.000000	0.783243	0.721519	0.766304	0.044785
3.000000	4.000000	0.784445	0.723629	0.766304	0.042676
3.000000	6.000000	0.777386	0.727848	0.762681	0.034833
3.000000	8.000000	0.774235	0.723629	0.762681	0.039052
3.000000	10.000000	0.774235	0.723629	0.762681	0.039052
4.000000	1.000000	0.751883	0.734177	0.809783	0.075605
4.000000	4.000000	0.759111	0.738397	0.809783	0.071386
4.000000	6.000000	0.742678	0.723629	0.816123	0.092494
4.000000	8.000000	0.742340	0.717300	0.813406	0.096106
4.000000	10.000000	0.756850	0.732068	0.809783	0.077715
5.000000	1.000000	0.716463	0.681435	0.850543	0.169109
5.000000	4.000000	0.724643	0.683544	0.845109	0.161564
5.000000	6.000000	0.717513	0.691983	0.844203	0.152220
5.000000	8.000000	0.738183	0.713080	0.836051	0.122971
5.000000	10.000000	0.736403	0.717300	0.830616	0.113316
6.000000	1.000000	0.679182	0.702532	0.884058	0.181526
6.000000	4.000000	0.679734	0.702532	0.871377	0.168845
6.000000	6.000000	0.700333	0.685654	0.870471	0.184817
6.000000	8.000000	0.732878	0.700422	0.849638	0.149216
6.000000	10.000000	0.752479	0.729958	0.842391	0.112433
7.000000	1.000000	0.636864	0.683544	0.914855	0.231311
7.000000	4.000000	0.632110	0.681435	0.891304	0.209870
7.000000	6.000000	0.675942	0.679325	0.877717	0.198392
7.000000	8.000000	0.690087	0.658228	0.855978	0.197750
7.000000	10.000000	0.725195	0.729958	0.844203	0.114245
8.000000	1.000000	0.612224	0.675105	0.928442	0.253337
8.000000	4.000000	0.641510	0.675105	0.899457	0.224351
8.000000	6.000000	0.688494	0.675105	0.883152	0.208047
8.000000	8.000000	0.684363	0.681435	0.862319	0.180884
8.000000	10.000000	0.709413	0.715190	0.848732	0.133542
9.000000	1.000000	0.575166	0.654008	0.942029	0.288021
9.000000	4.000000	0.636339	0.654008	0.913949	0.259941
9.000000	6.000000	0.689428	0.681435	0.884058	0.202623
9.000000	8.000000	0.695188	0.656118	0.865036	0.208918
9.000000	10.000000	0.721857	0.710970	0.855072	0.144102
