max_depth	max_features	n_estimators	min_samples_leaf	min_samples_split	AUC	Test_acc	Train_acc	Train_acc-Test_acc
3.000000	3.000000	10.000000	10.000000	80.000000	0.832781	0.759494	0.758152	-0.001341
3.000000	3.000000	10.000000	10.000000	100.000000	0.833974	0.767932	0.750906	-0.017027
3.000000	3.000000	10.000000	10.000000	120.000000	0.843757	0.782700	0.761775	-0.020925
3.000000	3.000000	10.000000	10.000000	140.000000	0.835603	0.772152	0.769928	-0.002224
3.000000	3.000000	10.000000	10.000000	160.000000	0.830681	0.782700	0.757246	-0.025454
3.000000	3.000000	10.000000	20.000000	80.000000	0.810020	0.753165	0.764493	0.011328
3.000000	3.000000	10.000000	20.000000	100.000000	0.819865	0.751055	0.772645	0.021590
3.000000	3.000000	10.000000	20.000000	120.000000	0.821957	0.744726	0.755435	0.010709
3.000000	3.000000	10.000000	20.000000	140.000000	0.823114	0.723629	0.747283	0.023654
3.000000	3.000000	10.000000	20.000000	160.000000	0.825624	0.751055	0.757246	0.006192
3.000000	3.000000	10.000000	30.000000	80.000000	0.807794	0.761603	0.777174	0.015571
3.000000	3.000000	10.000000	30.000000	100.000000	0.825206	0.746835	0.749094	0.002259
3.000000	3.000000	10.000000	30.000000	120.000000	0.821183	0.751055	0.743659	-0.007395
3.000000	3.000000	10.000000	30.000000	140.000000	0.817568	0.744726	0.741848	-0.002878
3.000000	3.000000	10.000000	30.000000	160.000000	0.821770	0.744726	0.754529	0.009803
3.000000	3.000000	10.000000	40.000000	80.000000	0.817043	0.755274	0.745471	-0.009803
3.000000	3.000000	10.000000	40.000000	100.000000	0.817008	0.759494	0.744565	-0.014928
3.000000	3.000000	10.000000	40.000000	120.000000	0.819491	0.770042	0.753623	-0.016419
3.000000	3.000000	10.000000	40.000000	140.000000	0.814960	0.755274	0.740036	-0.015238
3.000000	3.000000	10.000000	40.000000	160.000000	0.816278	0.755274	0.740036	-0.015238
3.000000	3.000000	10.000000	50.000000	80.000000	0.826096	0.767932	0.750000	-0.017932
3.000000	3.000000	10.000000	50.000000	100.000000	0.803931	0.727848	0.737319	0.009471
3.000000	3.000000	10.000000	50.000000	120.000000	0.820159	0.753165	0.737319	-0.015846
3.000000	3.000000	10.000000	50.000000	140.000000	0.813465	0.746835	0.743659	-0.003176
3.000000	3.000000	10.000000	50.000000	160.000000	0.825607	0.761603	0.740036	-0.021567
3.000000	3.000000	10.000000	60.000000	80.000000	0.820426	0.736287	0.743659	0.007373
3.000000	3.000000	10.000000	60.000000	100.000000	0.829452	0.761603	0.749094	-0.012509
3.000000	3.000000	10.000000	60.000000	120.000000	0.822651	0.746835	0.735507	-0.011328
3.000000	3.000000	10.000000	60.000000	140.000000	0.797958	0.736287	0.738225	0.001938
3.000000	3.000000	10.000000	60.000000	160.000000	0.825829	0.746835	0.735507	-0.011328
3.000000	3.000000	20.000000	10.000000	80.000000	0.832479	0.759494	0.752717	-0.006776
3.000000	3.000000	20.000000	10.000000	100.000000	0.829737	0.765823	0.773551	0.007728
3.000000	3.000000	20.000000	10.000000	120.000000	0.846793	0.774262	0.747283	-0.026979
3.000000	3.000000	20.000000	10.000000	140.000000	0.839645	0.767932	0.763587	-0.004346
3.000000	3.000000	20.000000	10.000000	160.000000	0.827316	0.748945	0.774457	0.025511
3.000000	3.000000	20.000000	20.000000	80.000000	0.833289	0.751055	0.750000	-0.001055
3.000000	3.000000	20.000000	20.000000	100.000000	0.836315	0.765823	0.747283	-0.018540
3.000000	3.000000	20.000000	20.000000	120.000000	0.827316	0.761603	0.766304	0.004701
3.000000	3.000000	20.000000	20.000000	140.000000	0.837660	0.770042	0.759964	-0.010078
3.000000	3.000000	20.000000	20.000000	160.000000	0.831589	0.774262	0.755435	-0.018827
3.000000	3.000000	20.000000	30.000000	80.000000	0.832719	0.776371	0.762681	-0.013690
3.000000	3.000000	20.000000	30.000000	100.000000	0.829336	0.753165	0.756341	0.003176
3.000000	3.000000	20.000000	30.000000	120.000000	0.832808	0.770042	0.756341	-0.013702
3.000000	3.000000	20.000000	30.000000	140.000000	0.832399	0.751055	0.749094	-0.001961
3.000000	3.000000	20.000000	30.000000	160.000000	0.838701	0.763713	0.745471	-0.018242
3.000000	3.000000	20.000000	40.000000	80.000000	0.826221	0.763713	0.753623	-0.010090
3.000000	3.000000	20.000000	40.000000	100.000000	0.834767	0.767932	0.756341	-0.011592
3.000000	3.000000	20.000000	40.000000	120.000000	0.818868	0.776371	0.743659	-0.032712
3.000000	3.000000	20.000000	40.000000	140.000000	0.830636	0.761603	0.754529	-0.007074
3.000000	3.000000	20.000000	40.000000	160.000000	0.823684	0.761603	0.741848	-0.019756
3.000000	3.000000	20.000000	50.000000	80.000000	0.820390	0.763713	0.747283	-0.016430
3.000000	3.000000	20.000000	50.000000	100.000000	0.838754	0.753165	0.753623	0.000459
3.000000	3.000000	20.000000	50.000000	120.000000	0.829515	0.744726	0.749094	0.004368
3.000000	3.000000	20.000000	50.000000	140.000000	0.838203	0.753165	0.754529	0.001364
3.000000	3.000000	20.000000	50.000000	160.000000	0.817782	0.736287	0.750000	0.013713
3.000000	3.000000	20.000000	60.000000	80.000000	0.821895	0.755274	0.748188	-0.007086
3.000000	3.000000	20.000000	60.000000	100.000000	0.827592	0.753165	0.765399	0.012234
3.000000	3.000000	20.000000	60.000000	120.000000	0.815557	0.742616	0.750906	0.008290
3.000000	3.000000	20.000000	60.000000	140.000000	0.832879	0.751055	0.758152	0.007097
3.000000	3.000000	20.000000	60.000000	160.000000	0.826150	0.753165	0.755435	0.002270
3.000000	3.000000	30.000000	10.000000	80.000000	0.835710	0.774262	0.769928	-0.004334
3.000000	3.000000	30.000000	10.000000	100.000000	0.838007	0.767932	0.765399	-0.002534
3.000000	3.000000	30.000000	10.000000	120.000000	0.833129	0.753165	0.765399	0.012234
3.000000	3.000000	30.000000	10.000000	140.000000	0.841621	0.782700	0.774457	-0.008244
3.000000	3.000000	30.000000	10.000000	160.000000	0.835051	0.751055	0.757246	0.006192
3.000000	3.000000	30.000000	20.000000	80.000000	0.834446	0.765823	0.767210	0.001387
3.000000	3.000000	30.000000	20.000000	100.000000	0.838149	0.755274	0.771739	0.016465
3.000000	3.000000	30.000000	20.000000	120.000000	0.834037	0.770042	0.759058	-0.010984
3.000000	3.000000	30.000000	20.000000	140.000000	0.834767	0.767932	0.765399	-0.002534
3.000000	3.000000	30.000000	20.000000	160.000000	0.836850	0.763713	0.758152	-0.005561
3.000000	3.000000	30.000000	30.000000	80.000000	0.834660	0.757384	0.763587	0.006203
3.000000	3.000000	30.000000	30.000000	100.000000	0.832310	0.776371	0.756341	-0.020031
3.000000	3.000000	30.000000	30.000000	120.000000	0.828108	0.759494	0.772645	0.013151
3.000000	3.000000	30.000000	30.000000	140.000000	0.844950	0.772152	0.752717	-0.019435
