gamma	C	AUC	Test_acc	Train_acc	Train_acc-Test_acc
0.010000	0.010000	0.500000	0.685654	0.701087	0.015433
0.010000	0.020000	0.710516	0.685654	0.701087	0.015433
0.010000	0.050000	0.762405	0.691983	0.705616	0.013633
0.010000	0.080000	0.770202	0.681435	0.706522	0.025087
0.010000	0.100000	0.774582	0.696203	0.716486	0.020283
0.010000	0.200000	0.786279	0.713080	0.723732	0.010652
0.010000	0.500000	0.794513	0.727848	0.739130	0.011282
0.010000	0.800000	0.795902	0.729958	0.750906	0.020948
0.010000	1.000000	0.796543	0.727848	0.757246	0.029398
0.010000	2.000000	0.800210	0.723629	0.782609	0.058980
0.010000	5.000000	0.800139	0.710970	0.839674	0.128703
0.020000	0.010000	0.500000	0.679325	0.705616	0.026291
0.020000	0.020000	0.758675	0.679325	0.705616	0.026291
0.020000	0.050000	0.767398	0.683544	0.714674	0.031130
0.020000	0.080000	0.776994	0.700422	0.722826	0.022404
0.020000	0.100000	0.781499	0.715190	0.721920	0.006730
0.020000	0.200000	0.791664	0.738397	0.731884	-0.006513
0.020000	0.500000	0.796774	0.732068	0.760870	0.028802
0.020000	0.800000	0.798973	0.734177	0.782609	0.048431
0.020000	1.000000	0.800637	0.727848	0.791667	0.063819
0.020000	2.000000	0.802916	0.717300	0.836051	0.118751
0.020000	5.000000	0.801136	0.719409	0.890399	0.170989
0.050000	0.010000	0.612865	0.685654	0.718297	0.032643
0.050000	0.020000	0.752969	0.685654	0.718297	0.032643
0.050000	0.050000	0.765921	0.694093	0.727355	0.033262
0.050000	0.080000	0.775401	0.708861	0.734601	0.025741
0.050000	0.100000	0.780965	0.725738	0.742754	0.017015
0.050000	0.200000	0.790632	0.734177	0.768116	0.033939
0.050000	0.500000	0.798964	0.746835	0.816123	0.069288
0.050000	0.800000	0.801260	0.736287	0.848732	0.112445
0.050000	1.000000	0.801563	0.732068	0.861413	0.129346
0.050000	2.000000	0.803076	0.727848	0.923007	0.195159
0.050000	5.000000	0.797112	0.727848	0.981884	0.254036
0.080000	0.010000	0.500000	0.679325	0.700181	0.020856
0.080000	0.020000	0.733073	0.679325	0.700181	0.020856
0.080000	0.050000	0.755114	0.679325	0.704710	0.025385
0.080000	0.080000	0.766499	0.706751	0.726449	0.019698
0.080000	0.100000	0.771084	0.725738	0.743659	0.017921
0.080000	0.200000	0.782852	0.740506	0.781703	0.041197
0.080000	0.500000	0.795101	0.751055	0.844203	0.093148
0.080000	0.800000	0.799151	0.740506	0.888587	0.148081
0.080000	1.000000	0.801109	0.734177	0.914855	0.180678
0.080000	2.000000	0.802542	0.742616	0.972826	0.230210
0.080000	5.000000	0.799338	0.729958	0.999094	0.269136
0.100000	0.010000	0.285193	0.664557	0.691123	0.026566
0.100000	0.020000	0.686704	0.664557	0.691123	0.026566
0.100000	0.050000	0.746435	0.666667	0.691123	0.024457
0.100000	0.080000	0.759218	0.685654	0.715580	0.029926
0.100000	0.100000	0.763891	0.694093	0.733696	0.039603
0.100000	0.200000	0.777030	0.727848	0.788043	0.060195
0.100000	0.500000	0.792608	0.742616	0.862319	0.119703
